match_id,season_id,home_team_id,home_team_goal
492473,0,9987,1
492474,0,10000,0
492475,0,9984,0
492476,0,9991,5
492477,0,7947,1
492478,0,8203,1
492479,0,9999,2
492480,0,4049,1
492481,0,10001,1
492564,0,8342,4
492565,0,9985,1
492566,0,10000,0
492567,0,9994,0
492568,0,7947,2
492569,0,8203,1
492570,0,9996,0
492571,0,4049,1
492572,0,9993,1
492573,0,8635,2
492574,0,9998,0
492575,0,9986,2
492576,0,9984,2
492577,0,9991,1
492578,0,9999,1
492579,0,8571,0
492580,0,10001,1
492581,0,9993,1
492582,0,8342,1
492583,0,9987,1
492584,0,10000,2
492585,0,9994,1
492586,0,7947,1
492587,0,8203,0
492588,0,9996,2
492589,0,4049,3
492590,0,10001,3
492591,0,8635,2
492592,0,9985,3
492622,0,9998,1
492623,0,9986,3
492624,0,9984,2
492628,0,9991,2
492631,0,9999,2
492636,0,8571,1
492638,0,9993,0
492649,0,8342,3
492651,0,9987,3
492658,0,10000,4
492662,0,9991,4
492664,0,7947,0
492666,0,8203,0
492670,0,9996,2
492674,0,4049,3
492677,0,10001,2
492683,0,8635,5
492686,0,9985,1
492689,0,9998,5
492692,0,9986,1
492693,0,9984,3
492696,0,9994,2
492699,0,9999,1
492702,0,8571,3
492706,0,9993,3
492709,0,8342,1
492713,0,9987,1
492717,0,10000,2
492720,0,9991,1
492722,0,7947,1
492724,0,8203,2
492728,0,9999,0
492734,0,4049,2
492735,0,10001,1
492742,0,8635,2
492745,0,9985,2
492746,0,9998,2
492749,0,9986,2
492753,0,9984,4
492757,0,9994,2
492758,0,9996,5
492760,0,8571,0
492763,0,9993,2
492769,0,9993,4
492772,0,9994,2
492775,0,8635,1
492779,0,9998,1
492781,0,9985,3
492782,0,8342,3
492785,0,8571,2
492789,0,9996,1
492792,0,9986,1
492798,0,10000,3
492801,0,9991,1
492804,0,10001,0
492805,0,9987,2
492807,0,9999,3
492810,0,4049,2
492814,0,8203,2
492817,0,9984,0
492819,0,7947,0
492482,0,8342,2
492483,0,8635,2
492484,0,9985,3
492485,0,9998,3
492486,0,9986,1
492487,0,9994,4
492488,0,9996,3
492489,0,8571,2
492490,0,9993,1
492822,0,8571,1
492844,0,9994,1
492845,0,9998,1
492847,0,9986,2
492849,0,9996,0
492851,0,10000,1
492853,0,9985,3
492856,0,8342,3
492858,0,9993,2
492989,0,7947,0
492990,0,8571,0
492991,0,8635,3
492992,0,9987,1
492993,0,9984,2
492994,0,10001,1
492995,0,4049,1
492996,0,9991,2
492997,0,9999,2
492998,0,9986,0
492999,0,8342,0
493000,0,9993,1
493001,0,8203,3
493002,0,10000,1
493003,0,9994,2
493004,0,9998,1
493005,0,9985,4
493006,0,9996,0
493007,0,10001,1
493008,0,8635,4
493009,0,9999,3
493010,0,4049,0
493011,0,8571,1
493012,0,9984,0
493013,0,7947,1
493014,0,9987,1
493015,0,9991,1
493016,0,9996,1
493017,0,8203,2
493018,0,9986,3
493019,0,9985,4
493020,0,9994,0
493021,0,8342,2
493022,0,9993,3
493023,0,7947,4
493024,0,10000,1
493025,0,9984,1
493026,0,9998,0
493027,0,8635,2
493028,0,8571,2
493029,0,9987,4
493030,0,10001,0
493031,0,9999,2
493032,0,9991,2
493033,0,9986,0
493034,0,8203,2
493035,0,9985,2
493036,0,9993,2
493037,0,9994,0
493038,0,7947,1
493039,0,8342,1
493040,0,10000,0
493041,0,9996,1
493042,0,4049,1
493043,0,8571,2
493044,0,9986,1
493045,0,9991,1
493046,0,9998,0
493047,0,10001,3
493048,0,9999,1
493049,0,9984,0
493050,0,9987,3
493051,0,8635,2
493052,0,9994,0
493053,0,9996,3
493054,0,8342,2
493055,0,10000,3
493056,0,7947,1
493057,0,4049,0
493058,0,8203,1
493059,0,9987,1
493060,0,9985,3
493061,0,8635,1
493062,0,9999,1
493063,0,9993,1
493064,0,9985,1
493065,0,8571,1
493066,0,9998,0
493067,0,9986,1
493068,0,9984,4
493069,0,9991,2
492491,0,8635,4
492492,0,9987,1
492493,0,9984,2
492494,0,9991,2
492495,0,7947,1
492496,0,8203,0
492497,0,9999,1
492498,0,4049,1
492499,0,10001,1
493070,0,10001,0
493071,0,9996,0
493072,0,8342,3
493073,0,4049,3
493074,0,8203,0
493075,0,9987,2
493076,0,7947,3
493077,0,10000,5
493078,0,9994,1
493079,0,9993,2
493080,0,9984,1
493081,0,9986,1
493082,0,9999,1
493083,0,8635,4
493084,0,9985,4
493085,0,9994,3
493086,0,8571,2
493087,0,9998,0
493088,0,4049,1
493089,0,10000,0
493090,0,7947,0
493091,0,8203,2
493092,0,9991,2
493093,0,8342,2
493094,0,10001,1
493095,0,9987,0
493096,0,9996,3
493097,0,9985,2
493098,0,9986,3
493099,0,9996,0
493100,0,8571,0
493101,0,9994,0
493102,0,9993,3
493103,0,8635,3
493104,0,9998,1
493105,0,9984,2
493106,0,9987,0
493107,0,9991,0
493108,0,10000,3
493109,0,7947,1
493110,0,9999,1
493111,0,8203,3
493112,0,8342,4
493113,0,10001,1
493114,0,4049,1
492500,0,8342,1
492501,0,9985,2
492502,0,9998,1
492503,0,10000,1
492504,0,9986,3
492506,0,9994,1
492508,0,8203,0
492509,0,9996,4
492511,0,9993,3
492517,0,8635,2
492518,0,9987,0
492519,0,9984,1
492520,0,9991,1
492521,0,7947,2
492522,0,9999,0
492523,0,8571,1
492524,0,4049,0
492525,0,10001,0
492526,0,8342,2
492527,0,9985,2
492528,0,9998,2
492529,0,10000,1
492530,0,9986,1
492531,0,9994,1
492532,0,8203,4
492534,0,9996,1
492535,0,9993,2
492536,0,8635,2
492537,0,9987,2
492538,0,9998,1
492539,0,9984,4
492540,0,9991,1
492541,0,9999,0
492542,0,8571,0
492543,0,4049,2
492544,0,10001,3
492545,0,8342,3
492546,0,9985,2
492547,0,10000,4
492548,0,9994,2
492549,0,7947,2
492550,0,8203,1
492551,0,9996,2
492552,0,4049,0
492553,0,9993,1
492554,0,8635,7
492555,0,9987,0
492556,0,9998,0
492557,0,9986,1
492558,0,9984,1
492559,0,9991,3
492561,0,9999,0
492562,0,8571,2
492563,0,10001,4
665318,1,9985,2
665320,1,9986,1
665321,1,9984,1
665322,1,9994,1
665323,1,8571,0
665324,1,8203,4
665325,1,9999,1
665411,1,8342,4
665412,1,9985,1
665413,1,9997,1
665414,1,9986,3
665417,1,8203,2
665420,1,9999,3
665421,1,9993,3
665425,1,8342,1
665426,1,8635,2
665427,1,9987,1
665429,1,10000,4
665430,1,9994,1
665432,1,8571,2
665435,1,10001,2
665438,1,9985,1
665440,1,9997,1
665442,1,9986,1
665443,1,9984,1
665444,1,9994,0
665445,1,8203,0
665446,1,9999,2
665535,1,8342,1
665536,1,8635,2
665537,1,9987,2
665539,1,10000,2
665541,1,9991,0
665543,1,8571,2
665545,1,10001,2
665548,1,9985,3
665551,1,9987,0
665553,1,9986,0
665554,1,9984,2
665556,1,9994,0
665559,1,9999,2
665561,1,9993,4
665568,1,8342,1
665570,1,8635,3
665571,1,9997,1
665574,1,10000,4
665575,1,9991,2
665577,1,8571,2
665581,1,10001,1
665585,1,8342,1
665586,1,8635,1
665588,1,9997,2
665590,1,10000,1
665591,1,9991,3
665595,1,10001,2
665596,1,9993,3
665598,1,9985,2
665599,1,9987,0
665601,1,9986,0
665603,1,9984,1
665604,1,9994,0
665606,1,8571,1
665607,1,8203,2
665614,1,8342,1
665616,1,9985,0
665617,1,9997,0
665619,1,10000,1
665620,1,9991,2
665622,1,10001,0
665623,1,9993,0
665626,1,8635,3
665628,1,9987,2
665630,1,9986,2
665632,1,9994,0
665633,1,8571,1
665634,1,8203,1
665635,1,9999,1
665326,1,8342,2
665327,1,8635,3
665328,1,9997,0
665329,1,10000,2
665330,1,9991,2
665332,1,10001,1
665333,1,9993,1
665639,1,8342,2
665641,1,9985,2
665642,1,9997,5
665643,1,10000,1
665645,1,9986,3
665647,1,9991,2
665651,1,9993,1
665653,1,8635,2
665654,1,9987,0
665655,1,9984,2
665657,1,9994,2
665659,1,8571,1
665661,1,8203,1
665662,1,9999,0
665665,1,8342,2
665666,1,9985,0
665667,1,9997,2
665668,1,9986,1
665669,1,9991,2
665671,1,9999,1
665672,1,9993,1
665674,1,9987,2
665675,1,10000,2
665677,1,9984,1
665679,1,9994,1
665680,1,8571,3
665681,1,8203,0
665682,1,10001,0
665686,1,9985,3
665687,1,9997,0
665688,1,9986,4
665689,1,9991,0
665692,1,8203,1
665694,1,9999,1
665695,1,9993,0
665698,1,8635,1
665699,1,9987,1
665700,1,10000,1
665702,1,9984,2
665704,1,9994,2
665706,1,8571,2
665710,1,10001,1
665712,1,9985,1
665717,1,9986,0
665719,1,9984,4
665721,1,9991,1
665723,1,8203,2
665725,1,9999,0
665727,1,9993,1
665728,1,8342,2
665729,1,8635,2
665730,1,9987,3
665731,1,10000,1
665732,1,9991,0
665733,1,8571,3
665735,1,10001,4
665737,1,9997,1
665738,1,9986,0
665739,1,9984,1
665740,1,9994,1
665741,1,8203,1
665742,1,9999,1
665743,1,9993,1
665744,1,8342,1
665745,1,8635,2
665746,1,9997,2
665749,1,10000,1
665751,1,9991,2
665753,1,8571,3
665757,1,10001,2
665334,1,8635,3
665335,1,9987,1
665336,1,9986,1
665337,1,9984,2
665338,1,9994,1
665340,1,8203,2
665341,1,9999,1
665761,1,9985,0
665763,1,9987,1
665767,1,9984,3
665769,1,9994,0
665771,1,8203,2
665774,1,9999,0
665775,1,9993,1
665342,1,8342,2
665343,1,9985,1
665344,1,9997,2
665345,1,10000,0
665346,1,9991,4
665348,1,10001,0
665349,1,9993,1
665352,1,8635,1
665353,1,9987,1
665354,1,9984,2
665357,1,8571,1
665358,1,8203,0
665359,1,9999,1
665360,1,10001,1
665361,1,8342,1
665362,1,9985,3
665363,1,9997,2
665364,1,10000,0
665365,1,9986,0
665366,1,9991,5
665368,1,9993,2
665370,1,8635,1
665371,1,9987,1
665374,1,9984,1
665376,1,9994,1
665378,1,8571,0
665379,1,8203,3
665380,1,10001,1
665384,1,8342,3
665385,1,9985,1
665386,1,9997,2
665387,1,9986,1
665389,1,9991,1
665392,1,9999,1
665393,1,9993,1
665396,1,8635,1
665397,1,9987,1
665399,1,10000,3
665402,1,9984,1
665403,1,9994,4
665405,1,8571,0
665409,1,10001,2
838467,2,9997,1
838468,2,8571,1
838469,2,8203,2
838472,2,10001,0
838473,2,8635,4
838474,2,9985,1
838475,2,9984,1
838476,2,9987,2
838581,2,8342,3
838582,2,9985,5
838583,2,9997,1
838584,2,10000,1
838585,2,9994,1
838586,2,8571,3
838587,2,8203,2
838588,2,9989,0
838590,2,9991,2
838591,2,9987,4
838593,2,9993,1
838594,2,10000,2
838595,2,9986,1
838596,2,6351,6
838597,2,10001,1
838598,2,9984,1
